datanumber,rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score,set
1,1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96,"0:0, 15:0",1
1,3,Djokovic,Nadal,Djokovic,out,second,4,4.16,3.33,-0.39,"0:0, 30:0",1
1,5,Djokovic,Nadal,Djokovic,ace,second,2,0.4,1.62,17.18,"0:0, 40:0",1
1,6,Djokovic,Nadal,Djokovic,net,first,10,10.4,6.41,12.78,"1:0, 0:0",1
1,8,Nadal,Djokovic,Djokovic,out,second,7,7.2,0.5,18.67,"1:0, 15:0",1
1,9,Nadal,Djokovic,Djokovic,winner,first,12,0.92,3.65,9.5,"1:0, 30:0",1
1,11,Nadal,Djokovic,Nadal,winner,first,4,1.08,7.34,18.76,"1:0, 30:15",1
1,13,Nadal,Djokovic,Djokovic,net,second,13,13.6,4.01,11.37,"1:0, 40:15",1
1,14,Nadal,Djokovic,Djokovic,out,first,3,2.64,1.07,25.85,"2:0, 0:0",1
1,15,Djokovic,Nadal,Djokovic,out,first,2,0.8,4.39,27.45,"2:0, 15:0",1
1,17,Djokovic,Nadal,Djokovic,out,first,4,4,5.45,30.23,"2:0, 30:0",1
1,18,Djokovic,Nadal,Djokovic,out,first,6,6.4,8.55,22.48,"2:0, 40:0",1
1,19,Djokovic,Nadal,Djokovic,ace,first,1,0,1.62,10.23,"3:0, 0:0",1
1,20,Nadal,Djokovic,Djokovic,winner,first,12,12.92,0.53,21.45,"3:0, 15:0",1
1,22,Nadal,Djokovic,Nadal,out,second,2,0.76,4.77,24.68,"3:0, 15:15",1
1,24,Nadal,Djokovic,Djokovic,winner,first,4,0.72,7.3,22.58,"3:0, 30:15",1
1,25,Nadal,Djokovic,Nadal,winner,first,3,2.52,8.4,3.22,"3:0, 30:30",1
1,26,Nadal,Djokovic,Djokovic,out,first,7,6.24,9,4.04,"3:0, 40:30",1
1,28,Nadal,Djokovic,Nadal,out,first,2,0.84,8.34,24.45,"3:0, 40:40",1
1,29,Nadal,Djokovic,Nadal,out,first,2,0.8,2.27,24.56,"3:0, 40:Ad",1
1,30,Nadal,Djokovic,Nadal,out,first,4,3.4,0.88,8.57,"3:1, 0:0",1
1,31,Djokovic,Nadal,Djokovic,ace,first,1,0,4.63,16.1,"3:1, 15:0",1
1,32,Djokovic,Nadal,Djokovic,net,first,6,7.32,1.78,12.85,"3:1, 30:0",1
1,33,Djokovic,Nadal,Djokovic,ace,first,1,0,4.23,18.13,"3:1, 40:0",1
1,34,Djokovic,Nadal,Djokovic,winner,first,5,0.72,7.33,20.36,"4:1, 0:0",1
