name,country,seed,eliminated
Novak Djokovic,Serbia,1,Champion
Rafael Nadal,Spain,2,Finals
Roger Federer,Switzerland,3,Fourth Round
Alexander Zverev,Germany,4,Fourth Round
Kevin Anderson,South Africa,5,Second Round
Marin Čilić,Croatia,6,Fourth Round
Dominic Thiem,Austria,7,Second Round
Kei Nishikori,Japan,8,Quarterfinals
John Isner,United States,9,First Round
Karen Khachanov,Russia,10,Third Round
Borna Ćorić,Croatia,11,Fourth Round
Fabio Fognini,Italy,12,Third Round
Kyle Edmund,Britain,13,First Round
Stefanos Tsitsipas,Greece,14,Semifinals
Daniil Medvedev,Russia,15,Fourth Round
Milos Raonic,Canada,16,Quarterfinals
Marco Cecchinato,Itlay,17,First Round
Diego Schwartzman,Argentina,18,Third Round
Nikoloz Basilashvili,Georgia,19,Third Round
Grigor Dimitrov,Bulgaria,20,Fourth Round
David Goffin,Belgium,21,Third Round
Roberto Bautista Agut,Spain,22,Quarterfinals
Pablo Carreño Busta ,Spain,23,Fourth Round
Chung Hyeon,South Korea,24,Second Round
Denis Shapovalov,Canada,25,Third Round
Fernando Verdasco,Spain,26,Third Round
Alex de Minaur,Australia,27,Third Round
Lucas Pouille,France,28,Semifinals
Gilles Simon,France,29,Second Round
Gaël Monfils,France,30,Second Round
Steve Johnson,United States,31,First Round
Philipp Kohlschreiber,Germany,32,Second Round
